NOTE: While the addresses returned from swapping are correct, there is an issue with memory from another variable overlapping the external disk array.
So junk data will appear in areas, but the 2 pages swapped out at the beginning are correct. Did not have time to fix the issue.

  Ext. Disk Addr.  | Content  |
       0x0075      | null (0) |
       0x0076      | null (0) |
       0x0077      | null (0) |
       0x0078      |   C (67) |
       0x0079      | null (0) |
       0x007A      | null (0) |
       0x007B      | null (0) |
       0x007C      |   : (58) |
       0x007D      | null (0) |
       0x007E      | null (0) |
       0x007F      | null (0) |
       0x0080      |   I (73) |
       0x0081      | null (0) |
       0x0082      |   = (61) |
       0x0083      | null (0) |
       0x0084      |   > (62) |
       0x0085      | null (0) |
       0x0086      |   O (79) |
       0x0087      | null (0) |
       0x0088      | null (0) |
       0x0089      | null (0) |
       0x008A      |   = (61) |
       0x008B      | null (0) |
       0x008C      |   = (61) |
       0x008D      | null (0) |
       0x008E      | null (0) |
       0x008F      | null (0) |
       0x0090      | null (0) |
       0x0091      | null (0) |
       0x0092      |   0 (48) |
       0x0093      | null (0) |
       0x0094      | null (0) |
       0x0095      | null (0) |
       0x0096      | null (0) |
       0x0097      | null (0) |
       0x0098      |   ; (59) |
       0x0099      | null (0) |
       0x009A      | null (0) |
       0x009B      | null (0) |
       0x009C      |   W (87) |
       0x009D      | null (0) |
       0x009E      |   : (58) |
       0x009F      | null (0) |
       0x00A0      |   D (68) |
       0x00A1      | null (0) |
       0x00A2      |   S (83) |
       0x00A3      | null (0) |
       0x00A4      | null (0) |
       0x00A5      | null (0) |
       0x00A6      | null (0) |
       0x00A7      | null (0) |
       0x00A8      | null (0) |
       0x00A9      | null (0) |
       0x00AA      | null (0) |
       0x00AB      | null (0) |
       0x00AC      |   Q (81) |
       0x00AD      | null (0) |
       0x00AE      |   B (66) |
       0x00AF      | null (0) |
       0x00B0      | null (0) |
       0x00B1      | null (0) |
       0x00B2      |   E (69) |
       0x00B3      | null (0) |
       0x00B4      | null (0) |
       0x00B5      | null (0) |
       0x00B6      |   O (79) |
       0x00B7      | null (0) |
       0x00B8      | null (0) |
       0x00B9      | null (0) |
       0x00BA      |   7 (55) |
       0x00BB      | null (0) |
       0x00BC      | null (0) |
       0x00BD      | null (0) |
       0x00BE      | null (0) |
       0x00BF      | null (0) |
       0x00C0      |   < (60) |
       0x00C1      | null (0) |
       0x00C2      | null (0) |
       0x00C3      | null (0) |
       0x00C4      | null (0) |
       0x00C5      | null (0) |
       0x00C6      |   R (82) |
       0x00C7      | null (0) |
       0x00C8      |   @ (64) |
       0x00C9      | null (0) |
       0x00CA      |   6 (54) |
       0x00CB      | null (0) |
       0x00CC      | null (0) |
       0x00CD      | null (0) |
       0x00CE      | null (0) |
       0x00CF      | null (0) |
       0x00D0      | null (0) |
       0x00D1      | null (0) |
       0x00D2      |   C (67) |
       0x00D3      | null (0) |
       0x00D4      | null (0) |
       0x00D5      | null (0) |
       0x00D6      | null (0) |
       0x00D7      | null (0) |
       0x00D8      |   ? (63) |
       0x00D9      | null (0) |
       0x00DA      |   6 (54) |
       0x00DB      | null (0) |
       0x00DC      | null (0) |
       0x00DD      | null (0) |
       0x00DE      | null (0) |
       0x00DF      | null (0) |
       0x00E0      | null (0) |
       0x00E1      | null (0) |
       0x00E2      |   1 (49) |
       0x00E3      | null (0) |
       0x00E4      | null (0) |
       0x00E5      | null (0) |
       0x00E6      | null (0) |
       0x00E7      | null (0) |
       0x00E8      |   6 (54) |
       0x00E9      | null (0) |
       0x00EA      |   3 (51) |
       0x00EB      | null (0) |
       0x00EC      |   P (80) |
       0x00ED      | null (0) |
       0x00EE      | null (0) |
       0x00EF      | null (0) |
       0x00F0      |   Q (81) |
       0x00F1      | null (0) |
       0x00F2      |   = (61) |
       0x00F3      | null (0) |
       0x00F4      |   ; (59) |
       0x00F5      | null (0) |
       0x00F6      |   C (67) |
       0x00F7      | null (0) |
       0x00F8      |   < (60) |
       0x00F9      | null (0) |
       0x00FA      | null (0) |
       0x00FB      | null (0) |
       0x00FC      | null (0) |
       0x00FD      | null (0) |
       0x00FE      |   H (72) |
       0x00FF      | null (0) |
       0x0100      | null (0) |
       0x0101      | null (0) |
       0x0102      |   4 (52) |
       0x0103      | null (0) |
       0x0104      |   U (85) |
       0x0105      | null (0) |
       0x0106      | null (0) |
       0x0107      | null (0) |
       0x0108      |   1 (49) |
       0x0109      | null (0) |
       0x010A      |   I (73) |
       0x010B      | null (0) |
       0x010C      | null (0) |
       0x010D      | null (0) |
       0x010E      |   4 (52) |
       0x010F      | null (0) |
       0x0110      |   7 (55) |
       0x0111      | null (0) |
       0x0112      |   W (87) |
       0x0113      | null (0) |
       0x0114      | null (0) |
       0x0115      | null (0) |
       0x0116      | null (0) |
       0x0117      | null (0) |
       0x0118      |   > (62) |
       0x0119      | null (0) |
       0x011A      |   K (75) |
       0x011B      | null (0) |
       0x011C      | null (0) |
       0x011D      | null (0) |
       0x011E      |   T (84) |
       0x011F      | null (0) |
       0x0120      | null (0) |
       0x0121      | null (0) |
       0x0122      |   ; (59) |
       0x0123      | null (0) |
       0x0124      | null (0) |
       0x0125      | null (0) |
       0x0126      |   ? (63) |
       0x0127      | null (0) |
       0x0128      |   9 (57) |
       0x0129      | null (0) |
       0x012A      |   X (88) |
       0x012B      | null (0) |
       0x012C      |   1 (49) |
       0x012D      | null (0) |
       0x012E      | null (0) |
       0x012F      | null (0) |
       0x0130      | null (0) |
       0x0131      | null (0) |
       0x0132      | null (0) |
       0x0133      | null (0) |
       0x0134      |   P (80) |
       0x0135      | null (0) |
       0x0136      | null (0) |
       0x0137      | null (0) |
       0x0138      |   Y (89) |
       0x0139      | null (0) |
       0x013A      | null (0) |
       0x013B      | null (0) |
       0x013C      | null (0) |
       0x013D      | null (0) |
       0x013E      |   7 (55) |
       0x013F      | null (0) |
       0x0140      |   ; (59) |
       0x0141      | null (0) |
       0x0142      |   K (75) |
       0x0143      | null (0) |
       0x0144      |   Q (81) |
       0x0145      | null (0) |
       0x0146      |   E (69) |
       0x0147      | null (0) |
       0x0148      | null (0) |
       0x0149      | null (0) |
       0x014A      | null (0) |
       0x014B      | null (0) |
       0x014C      |   : (58) |
       0x014D      | null (0) |
       0x014E      |   2 (50) |
       0x014F      | null (0) |
       0x0150      |   L (76) |
       0x0151      | null (0) |
       0x0152      |   J (74) |
       0x0153      | null (0) |
       0x0154      |   8 (56) |
       0x0155      | null (0) |
       0x0156      | null (0) |
       0x0157      | null (0) |
       0x0158      | null (0) |
       0x0159      | null (0) |
       0x015A      |   > (62) |
       0x015B      | null (0) |
       0x015C      | null (0) |
       0x015D      | null (0) |
       0x015E      | null (0) |
       0x015F      | null (0) |
       0x0160      | null (0) |
       0x0161      | null (0) |
       0x0162      | null (0) |
       0x0163      | null (0) |
       0x0164      | null (0) |
       0x0165      | null (0) |
       0x0166      | null (0) |
       0x0167      | null (0) |
       0x0168      | null (0) |
       0x0169      | null (0) |
       0x016A      | null (0) |
       0x016B      | null (0) |
       0x016C      | null (0) |
       0x016D      | null (0) |
       0x016E      | null (0) |
       0x016F      | null (0) |
       0x0170      |   X (88) |
       0x0171      | null (0) |
       0x0172      | null (0) |
       0x0173      | null (0) |
       0x0174      | null (0) |
       0x0175      | null (0) |
       0x0176      |   G (71) |
       0x0177      | null (0) |
       0x0178      | null (0) |
       0x0179      | null (0) |
       0x017A      |   R (82) |
       0x017B      | null (0) |
       0x017C      | null (0) |
       0x017D      | null (0) |
       0x017E      | null (0) |
       0x017F      | null (0) |
       0x0180      | null (0) |
       0x0181      | null (0) |
       0x0182      | null (0) |
       0x0183      | null (0) |
       0x0184      | null (0) |
       0x0185      | null (0) |
       0x0186      |   > (62) |
       0x0187      | null (0) |
       0x0188      | null (0) |
       0x0189      | null (0) |
       0x018A      | null (0) |
       0x018B      | null (0) |
       0x018C      | null (0) |
       0x018D      | null (0) |
       0x018E      | null (0) |
       0x018F      | null (0) |
       0x0190      |   9 (57) |
       0x0191      | null (0) |
       0x0192      | null (0) |
       0x0193      | null (0) |
       0x0194      |   R (82) |
       0x0195      | null (0) |
       0x0196      |   Q (81) |
       0x0197      | null (0) |
       0x0198      |   G (71) |
       0x0199      | null (0) |
       0x019A      |   V (86) |
       0x019B      | null (0) |
       0x019C      |   < (60) |
       0x019D      | null (0) |
       0x019E      | null (0) |
       0x019F      | null (0) |
       0x01A0      | null (0) |
       0x01A1      | null (0) |
       0x01A2      | null (0) |
       0x01A3      | null (0) |
       0x01A4      | null (0) |
       0x01A5      | null (0) |
       0x01A6      |   1 (49) |
       0x01A7      | null (0) |
       0x01A8      | null (0) |
       0x01A9      | null (0) |
       0x01AA      | null (0) |
       0x01AB      | null (0) |
       0x01AC      | null (0) |
       0x01AD      | null (0) |
       0x01AE      | null (0) |
       0x01AF      | null (0) |
       0x01B0      |   9 (57) |
       0x01B1      | null (0) |
       0x01B2      | null (0) |
       0x01B3      | null (0) |
       0x01B4      |   V (86) |
       0x01B5      | null (0) |
       0x01B6      | null (0) |
       0x01B7      | null (0) |
       0x01B8      |   Q (81) |
       0x01B9      | null (0) |
       0x01BA      |   K (75) |
       0x01BB      | null (0) |
       0x01BC      | null (0) |
       0x01BD      | null (0) |
       0x01BE      | null (0) |
       0x01BF      | null (0) |
       0x01C0      |   Q (81) |
       0x01C1      | null (0) |
       0x01C2      |   0 (48) |
       0x01C3      | null (0) |
       0x01C4      |   > (62) |
       0x01C5      | null (0) |
       0x01C6      | null (0) |
       0x01C7      | null (0) |
       0x01C8      |   < (60) |
       0x01C9      | null (0) |
       0x01CA      | null (0) |
       0x01CB      | null (0) |
       0x01CC      |   3 (51) |
       0x01CD      | null (0) |
       0x01CE      |   F (70) |
       0x01CF      | null (0) |
       0x01D0      |   S (83) |
       0x01D1      | null (0) |
       0x01D2      |   C (67) |
       0x01D3      | null (0) |
       0x01D4      | null (0) |
       0x01D5      | null (0) |
       0x01D6      | null (0) |
       0x01D7      | null (0) |
       0x01D8      | null (0) |
       0x01D9      | null (0) |
       0x01DA      | null (0) |
       0x01DB      | null (0) |
       0x01DC      | null (0) |
       0x01DD      | null (0) |
       0x01DE      | null (0) |
       0x01DF      | null (0) |
       0x01E0      | null (0) |
       0x01E1      | null (0) |
       0x01E2      | null (0) |
       0x01E3      | null (0) |
       0x01E4      |   C (67) |
       0x01E5      | null (0) |
       0x01E6      |   1 (49) |
       0x01E7      | null (0) |
       0x01E8      | null (0) |
       0x01E9      | null (0) |
       0x01EA      |   N (78) |
       0x01EB      | null (0) |
       0x01EC      | null (0) |
       0x01ED      | null (0) |
       0x01EE      | null (0) |
       0x01EF      | null (0) |
       0x01F0      |   H (72) |
       0x01F1      | null (0) |
       0x01F2      |   N (78) |
       0x01F3      | null (0) |
       0x01F4      | null (0) |
       0x01F5      | null (0) |
       0x01F6      |   5 (53) |
       0x01F7      | null (0) |
       0x01F8      | null (0) |
       0x01F9      | null (0) |
       0x01FA      | null (0) |
       0x01FB      | null (0) |
       0x01FC      | null (0) |
       0x01FD      | null (0) |
       0x01FE      | null (0) |
       0x01FF      | null (0) |
       0x0200      | null (0) |
       0x0201      | null (0) |
       0x0202      |   ; (59) |
       0x0203      | null (0) |
       0x0204      |   U (85) |
       0x0205      | null (0) |
       0x0206      | null (0) |
       0x0207      | null (0) |
       0x0208      |   M (77) |
       0x0209      | null (0) |
       0x020A      | null (0) |
       0x020B      | null (0) |
       0x020C      |   B (66) |
       0x020D      | null (0) |
       0x020E      |   N (78) |
       0x020F      | null (0) |
       0x0210      | null (0) |
       0x0211      | null (0) |
       0x0212      |   7 (55) |
       0x0213      | null (0) |
       0x0214      |   = (61) |
       0x0215      | null (0) |
       0x0216      |   7 (55) |
       0x0217      | null (0) |
       0x0218      | null (0) |
       0x0219      | null (0) |
       0x021A      | null (0) |
       0x021B      | null (0) |
       0x021C      |   C (67) |
       0x021D      | null (0) |
       0x021E      | null (0) |
       0x021F      | null (0) |
       0x0220      | null (0) |
       0x0221      | null (0) |
       0x0222      | null (0) |
       0x0223      | null (0) |
       0x0224      | null (0) |
       0x0225      | null (0) |
       0x0226      | null (0) |
       0x0227      | null (0) |
       0x0228      |   T (84) |
       0x0229      | null (0) |
       0x022A      |   A (65) |
       0x022B      | null (0) |
       0x022C      |   A (65) |
       0x022D      | null (0) |
       0x022E      | null (0) |
       0x022F      | null (0) |
       0x0230      |   5 (53) |
       0x0231      | null (0) |
       0x0232      |   < (60) |
       0x0233      | null (0) |
       0x0234      | null (0) |
       0x0235      | null (0) |
       0x0236      | null (0) |
       0x0237      | null (0) |
       0x0238      | null (0) |
       0x0239      | null (0) |
       0x023A      | null (0) |
       0x023B      | null (0) |
       0x023C      | null (0) |
       0x023D      | null (0) |
       0x023E      |   7 (55) |
       0x023F      | null (0) |
       0x0240      |   = (61) |
       0x0241      | null (0) |
       0x0242      |   S (83) |
       0x0243      | null (0) |
       0x0244      | null (0) |
       0x0245      | null (0) |
       0x0246      |   G (71) |
       0x0247      | null (0) |
       0x0248      | null (0) |
       0x0249      | null (0) |
       0x024A      |   V (86) |
       0x024B      | null (0) |
       0x024C      | null (0) |
       0x024D      | null (0) |
       0x024E      | null (0) |
       0x024F      | null (0) |
       0x0250      | null (0) |
       0x0251      | null (0) |
       0x0252      | null (0) |
       0x0253      | null (0) |
       0x0254      | null (0) |
       0x0255      | null (0) |
       0x0256      |   7 (55) |
       0x0257      | null (0) |
       0x0258      | null (0) |
       0x0259      | null (0) |
       0x025A      | null (0) |
       0x025B      | null (0) |
       0x025C      |   4 (52) |
       0x025D      | null (0) |
       0x025E      |   7 (55) |
       0x025F      | null (0) |
       0x0260      | null (0) |
       0x0261      | null (0) |
       0x0262      |   B (66) |
       0x0263      | null (0) |
       0x0264      |   : (58) |
       0x0265      | null (0) |
       0x0266      | null (0) |
       0x0267      | null (0) |
       0x0268      | null (0) |
       0x0269      | null (0) |
       0x026A      | null (0) |
       0x026B      | null (0) |
       0x026C      |   6 (54) |
       0x026D      | null (0) |
       0x026E      |   M (77) |
       0x026F      | null (0) |
       0x0270      |   Y (89) |
       0x0271      | null (0) |
       0x0272      | null (0) |
       0x0273      | null (0) |
       0x0274      |   A (65) |
       0x0275      | null (0) |
       0x0276      |   0 (48) |
       0x0277      | null (0) |
       0x0278      |   7 (55) |
       0x0279      | null (0) |
       0x027A      |   U (85) |
       0x027B      | null (0) |
       0x027C      |   5 (53) |
       0x027D      | null (0) |
       0x027E      |   E (69) |
       0x027F      | null (0) |
       0x0280      | null (0) |
       0x0281      | null (0) |
       0x0282      | null (0) |
       0x0283      | null (0) |
       0x0284      |   < (60) |
       0x0285      | null (0) |
       0x0286      | null (0) |
       0x0287      | null (0) |
       0x0288      |   2 (50) |
       0x0289      | null (0) |
       0x028A      |   F (70) |
       0x028B      | null (0) |
       0x028C      | null (0) |
       0x028D      | null (0) |
       0x028E      |   F (70) |
       0x028F      | null (0) |
       0x0290      | null (0) |
       0x0291      | null (0) |
       0x0292      | null (0) |
       0x0293      | null (0) |
       0x0294      |   U (85) |
       0x0295      | null (0) |
       0x0296      |   K (75) |
       0x0297      | null (0) |
       0x0298      |   ; (59) |
       0x0299      | null (0) |
       0x029A      |   5 (53) |
       0x029B      | null (0) |
       0x029C      |   A (65) |
       0x029D      | null (0) |
       0x029E      |   5 (53) |
       0x029F      | null (0) |
       0x02A0      |   W (87) |
       0x02A1      | null (0) |
       0x02A2      | null (0) |
       0x02A3      | null (0) |
       0x02A4      |   6 (54) |
       0x02A5      | null (0) |
       0x02A6      | null (0) |
       0x02A7      | null (0) |
       0x02A8      | null (0) |
       0x02A9      | null (0) |
       0x02AA      | null (0) |
       0x02AB      | null (0) |
       0x02AC      |   R (82) |
       0x02AD      | null (0) |
       0x02AE      | null (0) |
       0x02AF      | null (0) |
       0x02B0      |   C (67) |
       0x02B1      | null (0) |
       0x02B2      | null (0) |
       0x02B3      | null (0) |
       0x02B4      | null (0) |
       0x02B5      | null (0) |
       0x02B6      | null (0) |
       0x02B7      | null (0) |
       0x02B8      | null (0) |
       0x02B9      | null (0) |
       0x02BA      | null (0) |
       0x02BB      | null (0) |
       0x02BC      | null (0) |
       0x02BD      | null (0) |
       0x02BE      | null (0) |
       0x02BF      | null (0) |
       0x02C0      | null (0) |
       0x02C1      | null (0) |
       0x02C2      |   X (88) |
       0x02C3      | null (0) |
       0x02C4      |   Q (81) |
       0x02C5      | null (0) |
       0x02C6      | null (0) |
       0x02C7      | null (0) |
       0x02C8      | null (0) |
       0x02C9      | null (0) |
       0x02CA      | null (0) |
       0x02CB      | null (0) |
       0x02CC      | null (0) |
       0x02CD      | null (0) |
       0x02CE      | null (0) |
       0x02CF      | null (0) |
       0x02D0      |   B (66) |
       0x02D1      | null (0) |
       0x02D2      | null (0) |
       0x02D3      | null (0) |
       0x02D4      | null (0) |
       0x02D5      | null (0) |
       0x02D6      | null (0) |
       0x02D7      | null (0) |
       0x02D8      |   J (74) |
       0x02D9      | null (0) |
       0x02DA      |   0 (48) |
       0x02DB      | null (0) |
       0x02DC      | null (0) |
       0x02DD      | null (0) |
       0x02DE      | null (0) |
       0x02DF      | null (0) |
       0x02E0      |   = (61) |
       0x02E1      | null (0) |
       0x02E2      | null (0) |
       0x02E3      | null (0) |
       0x02E4      |   < (60) |
       0x02E5      | null (0) |
       0x02E6      |   5 (53) |
       0x02E7      | null (0) |
       0x02E8      |   X (88) |
       0x02E9      | null (0) |
       0x02EA      | null (0) |
       0x02EB      | null (0) |
       0x02EC      |   = (61) |
       0x02ED      | null (0) |
       0x02EE      |   @ (64) |
       0x02EF      | null (0) |
       0x02F0      |   > (62) |
       0x02F1      | null (0) |
       0x02F2      |   < (60) |
       0x02F3      | null (0) |
       0x02F4      | null (0) |
       0x02F5      | null (0) |
       0x02F6      |   ? (63) |
       0x02F7      | null (0) |
       0x02F8      |   N (78) |
       0x02F9      | null (0) |
       0x02FA      |   F (70) |
       0x02FB      | null (0) |
       0x02FC      | null (0) |
       0x02FD      | null (0) |
       0x02FE      |   K (75) |
       0x02FF      | null (0) |
       0x0300      | null (0) |
       0x0301      | null (0) |
       0x0302      | null (0) |
       0x0303      | null (0) |
       0x0304      | null (0) |
       0x0305      | null (0) |
       0x0306      |   2 (50) |
       0x0307      | null (0) |
       0x0308      |   G (71) |
       0x0309      | null (0) |
       0x030A      |   T (84) |
       0x030B      | null (0) |
       0x030C      |   ; (59) |
       0x030D      | null (0) |
       0x030E      | null (0) |
       0x030F      | null (0) |
       0x0310      |   < (60) |
       0x0311      | null (0) |
       0x0312      |   X (88) |
       0x0313      | null (0) |
       0x0314      |   U (85) |
       0x0315      | null (0) |
       0x0316      | null (0) |
       0x0317      | null (0) |
       0x0318      | null (0) |
       0x0319      | null (0) |
       0x031A      |   D (68) |
       0x031B      | null (0) |
       0x031C      |   4 (52) |
       0x031D      | null (0) |
       0x031E      |   6 (54) |
       0x031F      | null (0) |
       0x0320      | null (0) |
       0x0321      | null (0) |
       0x0322      | null (0) |
       0x0323      | null (0) |
       0x0324      | null (0) |
       0x0325      | null (0) |
       0x0326      | null (0) |
       0x0327      | null (0) |
       0x0328      | null (0) |
       0x0329      | null (0) |
       0x032A      |   8 (56) |
       0x032B      | null (0) |
       0x032C      | null (0) |
       0x032D      | null (0) |
       0x032E      | null (0) |
       0x032F      | null (0) |
       0x0330      |   Q (81) |
       0x0331      | null (0) |
       0x0332      |   X (88) |
       0x0333      | null (0) |
       0x0334      | null (0) |
       0x0335      | null (0) |
       0x0336      |   I (73) |
       0x0337      | null (0) |
       0x0338      |   R (82) |
       0x0339      | null (0) |
       0x033A      | null (0) |
       0x033B      | null (0) |
       0x033C      |   U (85) |
       0x033D      | null (0) |
       0x033E      | null (0) |
       0x033F      | null (0) |
       0x0340      |   7 (55) |
       0x0341      | null (0) |
       0x0342      |   G (71) |
       0x0343      | null (0) |
       0x0344      |   J (74) |
       0x0345      | null (0) |
       0x0346      | null (0) |
       0x0347      | null (0) |
       0x0348      | null (0) |
       0x0349      | null (0) |
       0x034A      |   J (74) |
       0x034B      | null (0) |
       0x034C      | null (0) |
       0x034D      | null (0) |
       0x034E      | null (0) |
       0x034F      | null (0) |
       0x0350      | null (0) |
       0x0351      | null (0) |
       0x0352      |   C (67) |
       0x0353      | null (0) |
       0x0354      | null (0) |
       0x0355      | null (0) |
       0x0356      | null (0) |
       0x0357      | null (0) |
       0x0358      |   : (58) |
       0x0359      | null (0) |
       0x035A      | null (0) |
       0x035B      | null (0) |
       0x035C      | null (0) |
       0x035D      | null (0) |
       0x035E      | null (0) |
       0x035F      | null (0) |
       0x0360      |   5 (53) |
       0x0361      | null (0) |
       0x0362      |   P (80) |
       0x0363      | null (0) |
       0x0364      | null (0) |
       0x0365      | null (0) |
       0x0366      | null (0) |
       0x0367      | null (0) |
       0x0368      | null (0) |
       0x0369      | null (0) |
       0x036A      | null (0) |
       0x036B      | null (0) |
       0x036C      | null (0) |
       0x036D      | null (0) |
       0x036E      | null (0) |
       0x036F      | null (0) |
       0x0370      | null (0) |
       0x0371      | null (0) |
       0x0372      |   = (61) |
       0x0373      | null (0) |
       0x0374      | null (0) |
       0x0375      | null (0) |
       0x0376      |   O (79) |
       0x0377      | null (0) |
       0x0378      |   M (77) |
       0x0379      | null (0) |
       0x037A      | null (0) |
       0x037B      | null (0) |
       0x037C      | null (0) |
       0x037D      | null (0) |
       0x037E      | null (0) |
       0x037F      | null (0) |
       0x0380      |   9 (57) |
       0x0381      | null (0) |
       0x0382      |   R (82) |
       0x0383      | null (0) |
       0x0384      |   U (85) |
       0x0385      | null (0) |
       0x0386      | null (0) |
       0x0387      | null (0) |
       0x0388      | null (0) |
       0x0389      | null (0) |
       0x038A      |   7 (55) |
       0x038B      | null (0) |
       0x038C      |   I (73) |
       0x038D      | null (0) |
       0x038E      | null (0) |
       0x038F      | null (0) |
       0x0390      | null (0) |
       0x0391      | null (0) |
       0x0392      | null (0) |
       0x0393      | null (0) |
       0x0394      |   < (60) |
       0x0395      | null (0) |
       0x0396      |   L (76) |
       0x0397      | null (0) |
       0x0398      |   U (85) |
       0x0399      | null (0) |
       0x039A      |   M (77) |
       0x039B      | null (0) |
       0x039C      |   5 (53) |
       0x039D      | null (0) |
       0x039E      |   = (61) |
       0x039F      | null (0) |
       0x03A0      |   9 (57) |
       0x03A1      | null (0) |
       0x03A2      | null (0) |
       0x03A3      | null (0) |
       0x03A4      | null (0) |
       0x03A5      | null (0) |
       0x03A6      | null (0) |
       0x03A7      | null (0) |
       0x03A8      | null (0) |
       0x03A9      | null (0) |
       0x03AA      | null (0) |
       0x03AB      | null (0) |
       0x03AC      |   6 (54) |
       0x03AD      | null (0) |
       0x03AE      |   W (87) |
       0x03AF      | null (0) |
       0x03B0      | null (0) |
       0x03B1      | null (0) |
       0x03B2      | null (0) |
       0x03B3      | null (0) |
       0x03B4      | null (0) |
       0x03B5      | null (0) |
       0x03B6      |   V (86) |
       0x03B7      | null (0) |
       0x03B8      |   2 (50) |
       0x03B9      | null (0) |
       0x03BA      | null (0) |
       0x03BB      | null (0) |
       0x03BC      | null (0) |
       0x03BD      | null (0) |
       0x03BE      |   I (73) |
       0x03BF      | null (0) |
       0x03C0      | null (0) |
       0x03C1      | null (0) |
       0x03C2      |   6 (54) |
       0x03C3      | null (0) |
       0x03C4      | null (0) |
       0x03C5      | null (0) |
       0x03C6      | null (0) |
       0x03C7      | null (0) |
       0x03C8      | null (0) |
       0x03C9      | null (0) |
       0x03CA      | null (0) |
       0x03CB      | null (0) |
       0x03CC      | null (0) |
       0x03CD      | null (0) |
       0x03CE      | null (0) |
       0x03CF      | null (0) |
       0x03D0      |   > (62) |
       0x03D1      | null (0) |
       0x03D2      |   K (75) |
       0x03D3      | null (0) |
       0x03D4      | null (0) |
       0x03D5      | null (0) |
       0x03D6      | null (0) |
       0x03D7      | null (0) |
       0x03D8      | null (0) |
       0x03D9      | null (0) |
       0x03DA      |   L (76) |
       0x03DB      | null (0) |
       0x03DC      | null (0) |
       0x03DD      | null (0) |
       0x03DE      | null (0) |
       0x03DF      | null (0) |
       0x03E0      |   4 (52) |
       0x03E1      | null (0) |
       0x03E2      |   4 (52) |
       0x03E3      | null (0) |
       0x03E4      |   J (74) |
       0x03E5      | null (0) |
       0x03E6      | null (0) |
       0x03E7      | null (0) |
       0x03E8      | null (0) |
       0x03E9      | null (0) |
       0x03EA      | null (0) |
       0x03EB      | null (0) |
       0x03EC      |   > (62) |
       0x03ED      | null (0) |
